rating_numerator,timestamp
12,2015-11-30 04:22:44
10,2015-11-30 03:18:59
8,2015-11-30 03:06:07
5,2015-11-30 02:52:03
11,2015-11-30 02:31:34
12,2015-11-30 02:18:39
9,2015-11-30 02:01:49
9,2015-11-30 01:39:49
10,2015-11-30 01:28:28
8,2015-11-30 01:10:04
4,2015-11-30 00:22:57
6,2015-11-29 23:57:10
8,2015-11-29 23:30:32
12,2015-11-29 16:01:20
420,2015-11-29 05:52:33
10,2015-11-29 05:43:44
4,2015-11-29 05:34:25
7,2015-11-29 05:16:59
10,2015-11-29 05:11:35
2,2015-11-29 04:47:03
12,2015-11-29 04:37:03
10,2015-11-29 04:32:51
10,2015-11-29 04:04:12
10,2015-11-29 03:50:10
11,2015-11-29 03:33:17
10,2015-11-29 03:20:54
10,2015-11-29 03:16:46
11,2015-11-29 02:51:54
7,2015-11-29 02:33:32
9,2015-11-29 02:20:29
8,2015-11-29 02:07:44
1,2015-11-29 01:56:48
5,2015-11-29 01:52:48
7,2015-11-29 01:45:22
10,2015-11-29 01:35:26
10,2015-11-29 00:39:59
9,2015-11-29 00:06:39
8,2015-11-28 22:38:01
10,2015-11-28 22:15:21
12,2015-11-28 21:34:09
6,2015-11-28 20:43:53
8,2015-11-28 19:51:59
8,2015-11-28 19:04:19
8,2015-11-28 18:50:15
10,2015-11-28 18:19:37
10,2015-11-28 05:28:09
10,2015-11-28 05:05:47
7,2015-11-28 04:54:34
11,2015-11-28 04:03:11
5,2015-11-28 03:49:14
10,2015-11-28 03:31:48
11,2015-11-28 03:21:24
10,2015-11-28 02:55:30
11,2015-11-28 02:48:46
10,2015-11-28 02:45:17
11,2015-11-28 02:25:32
9,2015-11-28 02:20:27
12,2015-11-28 02:00:17
10,2015-11-28 01:54:54
6,2015-11-28 01:42:22
12,2015-11-28 01:18:21
10,2015-11-28 01:08:55
10,2015-11-28 00:48:35
8,2015-11-27 23:36:23
12,2015-11-27 22:51:19
9,2015-11-27 22:01:40
10,2015-11-27 20:30:30
11,2015-11-27 19:11:49
9,2015-11-27 18:09:09
11,2015-11-27 17:17:44
9,2015-11-27 04:16:59
10,2015-11-27 03:47:25
10,2015-11-27 03:20:20
10,2015-11-27 02:55:47
5,2015-11-27 02:38:14
11,2015-11-27 02:08:07
3,2015-11-27 01:42:24
11,2015-11-27 01:10:17
10,2015-11-27 00:43:49
5,2015-11-27 00:31:29
10,2015-11-26 22:16:09
9,2015-11-26 21:36:12
10,2015-11-26 20:12:29
10,2015-11-26 20:04:40
11,2015-11-26 18:16:16
12,2015-11-26 17:11:11
10,2015-11-26 16:59:01
10,2015-11-26 05:42:55
8,2015-11-26 05:28:02
10,2015-11-26 01:07:38
9,2015-11-26 01:00:28
8,2015-11-26 00:52:45
5,2015-11-25 23:39:47
12,2015-11-25 21:17:12
10,2015-11-25 19:46:30
10,2015-11-25 19:25:57
6,2015-11-25 18:29:39
10,2015-11-25 17:49:14
7,2015-11-25 17:40:53
9,2015-11-25 17:25:28
10,2015-11-25 17:13:02
10,2015-11-25 05:52:43
6,2015-11-25 04:43:02
10,2015-11-25 04:26:12
10,2015-11-25 04:11:57
10,2015-11-25 03:56:01
11,2015-11-25 03:39:17
8,2015-11-25 03:18:15
10,2015-11-25 03:14:30
10,2015-11-25 03:06:32
12,2015-11-25 01:35:25
13,2015-11-25 01:30:16
11,2015-11-25 01:20:08
8,2015-11-24 18:11:04
10,2015-11-24 18:01:05
9,2015-11-24 17:19:36
10,2015-11-24 06:17:19
10,2015-11-24 04:52:37
12,2015-11-24 04:17:01
11,2015-11-24 03:51:38
5,2015-11-24 03:29:51
8,2015-11-24 03:19:43
3,2015-11-24 03:08:48
7,2015-11-24 03:03:06
9,2015-11-24 02:54:30
4,2015-11-24 02:38:07
12,2015-11-24 02:29:49
11,2015-11-24 02:13:25
